time_seconds,rpm,time
0,6735,0
0.007,6990,7
0.013,6990,13
0.02,7219,20
0.027,7123,27
0.033,7123,33
0.04,6884,40
0.047,6795,47
0.053,6795,53
0.06,6869,60
0.067,7006,67
0.073,7006,73
0.08,7041,80
0.087,6959,87
0.093,6959,93
0.1,6872,100
0.107,6887,107
0.113,6887,113
0.12,7021,120
0.127,7109,127
0.133,7109,133
0.14,7114,140
0.147,7024,147
0.153,7024,153
0.16,6916,160
0.167,6921,167
0.173,6921,173
0.18,7012,180
0.187,7092,187
0.193,7092,193
0.2,7084,200
0.207,7001,207
0.213,7001,213
0.22,6990,220
0.227,7019,227
0.233,7019,233
0.24,7075,240
0.247,7145,247
0.253,7145,253
0.26,7136,260
0.267,7082,267
0.273,7082,273
0.28,7053,280
0.287,7098,287
0.293,7098,293
0.3,7162,300
0.307,7163,307
0.313,7163,313
0.32,7112,320
0.327,7069,327
0.333,7069,333
0.34,7086,340
0.347,7162,347
0.353,7162,353
0.36,7195,360
0.367,7146,367
0.373,7146,373
0.38,7081,380
0.387,7084,387
0.393,7084,393
0.4,7146,400
0.407,7215,407
0.413,7215,413
0.42,7249,420
0.427,7212,427
0.433,7212,433
0.44,7145,440
0.447,7172,447
0.453,7172,453
0.46,7256,460
0.467,7251,467
0.473,7251,473
0.48,7201,480
0.487,7183,487
0.493,7183,493
0.5,7176,500
0.507,7211,507
0.513,7211,513
0.52,7274,520
0.527,7324,527
0.533,7324,533
0.54,7343,540
0.547,7325,547
0.553,7325,553
0.56,7303,560
0.567,7295,567
0.573,7295,573
0.58,7303,580
0.587,7296,587
0.593,7296,593
0.6,7260,600
0.607,7246,607
0.613,7246,613
0.62,7250,620
0.627,7288,627
0.633,7288,633
0.64,7329,640
0.647,7326,647
0.653,7326,653
0.66,7305,660
0.667,7312,667
0.673,7312,673
0.68,7348,680
0.687,7350,687
0.693,7350,693
0.7,7351,700
0.707,7365,707
0.713,7365,713
0.72,7363,720
0.727,7342,727
0.733,7342,733
0.74,7329,740
0.747,7337,747
0.753,7337,753
0.76,7365,760
0.767,7387,767
0.773,7387,773
0.78,7389,780
0.787,7380,787
0.793,7380,793
0.8,7395,800
0.807,7429,807
0.813,7429,813
0.82,7455,820
0.827,7442,827
0.833,7442,833
0.84,7401,840
0.847,7395,847
0.853,7395,853
0.86,7462,860
0.867,7485,867
0.873,7485,873
0.88,7465,880
0.887,7476,887
0.893,7476,893
0.9,7515,900
0.907,7518,907
0.913,7518,913
0.92,7486,920
0.927,7469,927
0.933,7469,933
0.94,7455,940
0.947,7457,947
0.953,7457,953
0.96,7478,960
0.967,7485,967
0.973,7485,973
0.98,7465,980
0.987,7467,987
0.993,7467,993
1,7495,1000
1.007,7527,1007
1.013,7527,1013
