time_seconds,rpm,time,,,
0,5834,0,,,
0.004,5844,4,,,
0.008,5848,8,,,
0.012,5837,12,,,
0.016,5832,16,,,
0.02,5842,20,,,
0.024,5846,24,,,
0.028,5836,28,,,
0.032,5830,32,,,
0.036,5838,36,,,
0.04,5843,40,,,
0.044,5834,44,,,
0.048,5833,48,,,
0.052,5834,52,,,
0.056,5838,56,,,
0.06,5837,60,,,
0.064,5833,64,,,
0.068,5836,68,,,
0.072,5835,72,,,
0.076,5835,76,,,
0.08,5834,80,,,
0.084,5835,84,,,
0.088,5836,88,,,
0.092,5833,92,,,
0.096,5834,96,,,
0.1,5837,100,,,
0.104,5839,104,,,
0.108,5837,108,,,
0.112,5832,112,,,
0.116,5836,116,,,
0.12,5839,120,,,
0.124,5838,124,,,
0.128,5835,128,,,
0.132,5833,132,,,
0.136,5838,136,,,
0.14,5839,140,,,
0.144,5834,144,,,
0.148,5830,148,,,
0.152,5837,152,,,
0.156,5842,156,,,
0.16,5839,160,,,
0.164,5834,164,,,
0.168,5839,168,,,
0.172,5841,172,,,
0.176,5839,176,,,
0.18,5833,180,,,
0.184,5837,184,,,
0.188,5842,188,,,
0.192,5840,192,,,
0.196,5835,196,,,
0.2,5838,200,,,
0.204,5845,204,,,
0.208,5841,208,,,
0.212,5837,212,,,
0.216,5839,216,,,
0.22,5845,220,,,
0.224,5842,224,,,
0.228,5835,228,,,
0.232,5838,232,,,
0.236,5843,236,,,
0.24,5841,240,,,
0.244,5835,244,,,
0.248,5840,248,,,
0.252,5845,252,,,
0.256,5839,256,,,
0.26,5834,260,,,
0.264,5838,264,,,
0.268,5843,268,,,
0.272,5838,272,,,
0.276,5831,276,,,
0.28,5841,280,,,
0.284,5841,284,,,
0.288,5837,288,,,
0.292,5832,292,,,
0.296,5838,296,,,
0.3,5840,300,,,
0.304,5833,304,,,
0.308,5834,308,,,
0.312,5838,312,,,
0.316,5839,316,,,
0.32,5833,320,,,
0.324,5833,324,,,
0.328,5839,328,,,
0.332,5837,332,,,
0.336,5833,336,,,
0.34,5833,340,,,
0.344,5837,344,,,
0.348,5838,348,,,
0.352,5832,352,,,
0.356,5835,356,,,
0.36,5837,360,,,
0.364,5836,364,,,
0.368,5833,368,,,
0.372,5833,372,,,
0.376,5836,376,,,
0.38,5834,380,,,
0.384,5833,384,,,
0.388,5833,388,,,
0.392,5835,392,,,
0.396,5835,396,,,
0.4,5832,400,,,
0.404,5834,404,,,
0.408,5836,408,,,
0.412,5835,412,,,
0.416,5832,416,,,
0.42,5833,420,,,
0.424,5836,424,,,
0.428,5834,428,,,
0.432,5832,432,,,
0.436,5832,436,,,
0.44,5834,440,,,
0.444,5834,444,,,
0.448,5831,448,,,
0.452,5834,452,,,
0.456,5833,456,,,
0.46,5831,460,,,
0.464,5829,464,,,
0.468,5833,468,,,
0.472,5833,472,,,
0.476,5830,476,,,
0.48,5830,480,,,
0.484,5833,484,,,
0.488,5832,488,,,
0.492,5832,492,,,
0.496,5832,496,,,
0.5,5830,500,,,
0.504,5830,504,,,
0.508,5830,508,,,
0.512,5834,512,,,
0.516,5830,516,,,
0.52,5828,520,,,
0.524,5829,524,,,
0.528,5833,528,,,
0.532,5832,532,,,
0.536,5829,536,,,
0.54,5829,540,,,
0.544,5832,544,,,
0.548,5834,548,,,
0.552,5829,552,,,
0.556,5831,556,,,
0.56,5833,560,,,
0.564,5829,564,,,
0.568,5829,568,,,
0.572,5832,572,,,
0.576,5833,576,,,
0.58,5828,580,,,
0.584,5827,584,,,
0.588,5834,588,,,
0.592,5832,592,,,
0.596,5829,596,,,
0.6,5827,600,,,
0.604,5834,604,,,
0.608,5833,608,,,
0.612,5829,612,,,
0.616,5830,616,,,
0.62,5833,620,,,
0.624,5833,624,,,
0.628,5826,628,,,
